UF,id,Cidade,Status,Observações,Falhas
SP,sp_guararapes,Guararapes,True,,
SP,sp_candido_mota,Candido Mota,True,,
SP,sp_mirandopolis,Mirandópolis,True,,
SP,sp_morro_agudo,Morro Agudo,True,,
SP,sp_pilar_do_sul,Pilar do sul,True,,
SP,sp_igarapava,Igarapava,True,,
SP,sp_cruzeiro,Cruzeiro,False,BaseUrl não funciona,13.0
SP,sp_sao_sebastiao,São Sebastião,True,,
SP,sp_jacarei,Jacareí,False,Tentar novamente,14.0
SP,sp_aruja,Arujá,False,BaseUrl não funciona,15.0
SP,sp_araras,Araras,False,Tentar novamente,16.0
SP,sp_porto_feliz,Porto Feliz,True,,
SP,sp_americo_brasiliense,Americo Brasiliense,True,,
SP,sp_monte_alto,Monte Alto,True,,
SP,sp_santa_cruz_do_rio_pardo,Santa Cruz do Rio Pardo,True,,
SP,sp_santa_cruz_das_palmeiras,Santa Cruz das Palmeiras,False,Tentar novamente,17.0
SP,sp_marilia,Marília,True,,
SP,sp_rio_claro,Rio Claro,True,,
SP,sp_votorantim,Votorantim,True,,
SP,sp_valinhos,Valinhos,True,,
SP,sp_ribeirao_pires,Ribeirão Pires,True,,
SP,sp_ourinhos,Ourinhos,True,,
SP,sp_ibitinga,ibitinga,True,,
SP,sp_andradina,Andradina,True,,
SP,sp_piedade,Piedade,True,,
SP,sp_dracena,Dracena,True,,
SP,sp_presidente_epitacio,Presidente Epitácio,True,,
SP,sp_itapolis,Itápolis,True,,
SP,sp_sao_pedro,São Pedro,True,,
SP,sp_sao_manuel,São Manuel,True,,
SP,sp_ilhabela,Ilha Bela,True,,
SP,sp_aparecida,Aparecida,True,,
SP,sp_iguape,Iguape,True,,
SP,sp_rancharia,Rancharia,True,,
SP,sp_bady_bassitt,Bady Bassitt,True,,
SP,sp_penapolis,Penápolis,True,,
SP,sp_sao_roque,São Roque,True,,
SP,sp_vinhedo,Vinhedo,True,,
SP,sp_poa,Poá,False,Tentar novamente,18.0
SP,sp_boituva,Boituva,True,,
SP,sp_porto_ferreira,Porto Ferreira,True,,
SP,sp_guararema,Guarema,True,,
SP,sp_jarinu,Jarinu,True,,
SP,sp_ipero,Iperó,False,Tentar novamente,19.0
SP,sp_aracoiaba_da_serra,Araçoiaba da Serra,True,,
SP,sp_embu_guacu,Embu Guaçu,True,,
SP,sp_ibiuna,Ibiuna,True,,
SP,sp_piracaia,Piracaia,True,,
SP,sp_franco_da_rocha,Franco da Rocha,True,,
